TA DIFFUSER 0.020,,,,TA DIFFUSER 0.025,,,,TA DIFFUSER 0.030,,,,TA DIFFUSER 0.035,,,,TA QUADRANT 1,,TA QUADRANT 2,
X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,radius,inst_Vmag,radius,inst_Vmag
0.02,-0.027413691,0.033933962,3.502579566,0.025,-0.027076443,0.036852946,3.099117755,,,,,0.035,-0.026701946,0.044023152,1.688043856,0.01604635,3.562710046,0.01604635,4.203753881
0.02,-0.027440872,0.033955942,3.509813807,0.025,-0.027115705,0.036881782,3.106375868,,,,,0.035,-0.026765369,0.044061489,1.703460538,0.016249331,3.622321509,0.016249331,4.269664725
0.02,-0.027468054,0.033977921,3.517048049,0.025,-0.027154966,0.036910722,3.113647386,,,,,0.035,-0.026828792,0.044099984,1.70049065,0.016452748,3.679298158,0.016452748,4.334224158
0.02,-0.027495235,0.033999901,3.52428229,0.025,-0.027194228,0.036939647,3.113848769,,,,,0.035,-0.026892215,0.044138525,1.697752525,0.016655511,3.738617216,0.016655511,4.399644161
0.02,-0.027522416,0.03402188,3.531516531,0.025,-0.02723349,0.036968556,3.111728085,,,,,0.035,-0.026955638,0.044177463,1.708640177,0.016858847,3.798586099,0.016858847,4.463994191
0.02,-0.027549597,0.03404386,3.538750772,0.025,-0.027272752,0.036997465,3.109607401,,,,,0.035,-0.02701906,0.044216362,1.718915774,0.017061905,3.861891296,0.017061905,4.527238793
0.02,-0.027576779,0.034065839,3.545938266,0.025,-0.027312013,0.037026375,3.107486717,,,,,0.035,-0.027082483,0.044255133,1.727153334,0.017264907,3.93073529,0.017264907,4.587793705
0.02,-0.02760396,0.034087819,3.553094338,0.025,-0.027351275,0.03705532,3.101958333,,,,,0.035,-0.027145906,0.044293903,1.735705641,0.017468294,4.005801933,0.017468294,4.647790802
0.02,-0.027631141,0.03410985,3.55747127,0.025,-0.027390537,0.037084363,3.096144604,,,,,0.035,-0.027209329,0.044332674,1.744070953,0.017671077,4.081080807,0.017671077,4.705962622
0.02,-0.027658322,0.034131896,3.562098314,0.025,-0.027429799,0.03711341,3.090814182,,,,,0.035,-0.027272752,0.044371507,1.752043289,0.017874414,4.15399942,0.017874414,4.766582032
0.02,-0.027685503,0.034153941,3.568250309,0.025,-0.02746906,0.037142435,3.084267418,,,,,0.035,-0.027336175,0.044410445,1.759593175,0.018077463,4.216620133,0.018077463,4.828986405
0.02,-0.027712685,0.034175987,3.574402305,0.025,-0.027508322,0.037171461,3.077720654,,,,,0.035,-0.027399597,0.044449603,1.773467342,0.018280483,4.273540627,0.018280483,4.896868085
0.02,-0.027739866,0.034198032,3.5805543,0.025,-0.027547584,0.037200486,3.07117389,,,,,0.035,-0.02746302,0.044488966,1.793197739,0.018483843,4.330935894,0.018483843,4.968779897
0.02,-0.027767047,0.034220077,3.586706295,0.025,-0.027586846,0.037229539,3.066407787,,,,,0.035,-0.027526443,0.044528218,1.804481295,0.018686645,4.392450276,0.018686645,5.04160315
0.02,-0.027794228,0.034242123,3.59285829,0.025,-0.027626107,0.037258684,3.06482886,,,,,0.035,-0.027589866,0.044567414,1.813138561,0.018889981,4.455775966,0.018889981,5.114261633
0.02,-0.027821409,0.034264168,3.597540824,0.025,-0.027665369,0.037287853,3.061117192,,,,,0.035,-0.027653289,0.04460661,1.823730781,0.019093022,4.517471625,0.019093022,5.17897808
0.02,-0.027848591,0.034286211,3.601264836,0.025,-0.027704631,0.037316992,3.052632945,,,,,0.035,-0.027716711,0.044645806,1.830698453,0.019296059,4.578405572,0.019296059,5.240091898
0.02,-0.027875772,0.034308321,3.603170491,0.025,-0.027743893,0.037346131,3.044148698,,,,,0.035,-0.027780134,0.044685137,1.832073185,0.019499394,4.639960193,0.019499394,5.298690518
0.02,-0.027902953,0.034330431,3.60566667,0.025,-0.027783154,0.03737527,3.035664451,,,,,0.035,-0.027843557,0.044724499,1.832121525,0.019702213,4.704663087,0.019702213,5.356702637
0.02,-0.027930134,0.034352541,3.609192838,0.025,-0.027822416,0.037404431,3.026319779,,,,,0.035,-0.02790698,0.044764258,1.836678898,0.01990555,4.767485556,0.01990555,5.413899158
0.02,-0.027957315,0.034374651,3.612719006,0.025,-0.027861678,0.037433676,3.01676973,,,,,0.035,-0.027970403,0.044804021,1.84005903,0.020108583,4.828652722,0.020108583,5.468826426
0.02,-0.027984497,0.034396761,3.616245174,0.025,-0.02790094,0.037462963,3.006939532,,,,,0.035,-0.028033826,0.044843634,1.82978026,0.020311635,4.887436125,0.020311635,5.526519633
0.02,-0.028011678,0.034418872,3.619771341,0.025,-0.027940201,0.037492215,2.988517905,,,,,0.035,-0.028097248,0.044883247,1.823110546,0.020514949,4.945763713,0.020514949,5.581531179
0.02,-0.028038859,0.034440982,3.623297509,0.025,-0.027979463,0.037521467,2.970096279,,,,,0.035,-0.028160671,0.044922861,1.81509461,0.020717782,5.004083347,0.020717782,5.646791342
0.02,-0.02806604,0.034463092,3.625281555,0.025,-0.028018725,0.037550718,2.951674652,,,,,0.035,-0.028224094,0.044962513,1.802175262,0.020921119,5.066689679,0.020921119,5.694265536
0.02,-0.028093221,0.03448521,3.625915065,0.025,-0.028057987,0.037579984,2.93159323,,,,,0.035,-0.028287517,0.045002293,1.780896796,0.021124146,5.129233529,0.021124146,5.717617954
0.02,-0.028120403,0.034507384,3.622988003,0.025,-0.028097248,0.037609328,2.906397772,,,,,0.035,-0.02835094,0.045042228,1.758742946,0.021327211,5.184020719,0.021327211,5.739569985
0.02,-0.028147584,0.034529558,3.619762565,0.025,-0.02813651,0.037638734,2.887057816,,,,,0.035,-0.028414362,0.045082415,1.735177057,0.021530505,5.226622464,0.021530505,5.739368008
0.02,-0.028174765,0.034551731,3.616286385,0.025,-0.028175772,0.037668096,2.864321898,,,,,0.035,-0.028477785,0.045122516,1.712311947,0.021733352,5.264225469,0.021733352,5.714394643
0.02,-0.028201946,0.034573905,3.612810206,0.025,-0.028215034,0.037697459,2.84158598,,,,,0.035,-0.028541208,0.045162538,1.690550367,0.021936688,5.306299322,0.021936688,5.684953521
0.02,-0.028229128,0.034596079,3.609334027,0.025,-0.028254295,0.037726821,2.818850063,,,,,0.035,-0.028604631,0.045202559,1.669760458,0.022139709,5.361188756,0.022139709,5.698263915
0.02,-0.028256309,0.034618253,3.605857848,0.025,-0.028293557,0.037756191,2.795143242,,,,,0.035,-0.028668054,0.045242581,1.647714657,0.022342788,5.39940985,0.022342788,5.712350391
0.02,-0.02828349,0.034640427,3.602441621,0.025,-0.028332819,0.037785633,2.766212238,,,,,0.035,-0.028731477,0.045282714,1.626022979,0.022546063,5.424912798,0.022546063,5.713352533
0.02,-0.028310671,0.0346626,3.599514559,0.025,-0.028372081,0.037815155,2.742616149,,,,,0.035,-0.028794899,0.045322902,1.604595225,0.022748922,5.454994289,0.022748922,5.708688054
0.02,-0.028337852,0.034684793,3.593906683,0.025,-0.028411342,0.037844626,2.716160544,,,,,0.035,-0.028858322,0.045363415,1.588382178,0.022952259,5.47109152,0.022952259,5.699808257
0.02,-0.028365034,0.034707029,3.583380571,0.025,-0.028450604,0.037874098,2.689795753,,,,,0.035,-0.028921745,0.045404002,1.573357463,0.023155274,5.489035993,0.023155274,5.709867871
0.02,-0.028392215,0.034729265,3.572692289,0.025,-0.028489866,0.03790357,2.663430962,,,,,0.035,-0.028985168,0.045444432,1.548250208,0.023358364,5.482282535,0.023358364,5.691815497
0.02,-0.028419396,0.034751502,3.561938974,0.025,-0.028529128,0.037933042,2.635928515,,,,,0.035,-0.029048591,0.045484854,1.519670525,0.023561623,5.460075175,0.023561623,5.646960249
